Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer,Name,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
7611,CA-2015-133354,22/02/2015,24/02/2015,First Class,SA-20830,Sue,Ann Reed,Glasgow,Scotland,G1 1AA,West,OFF-PA-10001800,Stationery,Paper,Xerox 220,14.58
488,CA-2015-154627,29/10/2015,31/10/2015,First Class,SA-20830,Sue,Ann Reed,Leeds,West Yorkshire,LS1 1UR,Central,TEC-PH-10001363,Electronics,Mobiles,Apple iPhone 5S,2051.96
789,CA-2016-115938,26/06/2016,30/06/2016,Standard Class,SA-20830,Sue,Ann Reed,Manchester,Greater Manchester,M1 1AE,South,OFF-BI-10001543,Stationery,Files,GBC VeloBinder Manual Binding System,107.97
790,CA-2016-115938,26/06/2016,30/06/2016,Standard Class,SA-20830,Sue,Ann Reed,Manchester,Greater Manchester,M1 1AE,South,OFF-ST-10001321,Stationery,Storage,"Decoflex Hanging Personal Folder File, Blue",11.56
791,CA-2016-115938,26/06/2016,30/06/2016,Standard Class,SA-20830,Sue,Ann Reed,Manchester,Greater Manchester,M1 1AE,South,OFF-BI-10001132,Stationery,Files,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",32.28
792,CA-2016-115938,26/06/2016,30/06/2016,Standard Class,SA-20830,Sue,Ann Reed,Birmingham,West Midlands,B1 1AA,South,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,249.7
8207,CA-2016-122266,26/04/2016,30/04/2016,Standard Class,SA-20830,Sue,Ann Reed,London,Greater London,SW1A 1AA,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,143.64
8208,CA-2016-122266,26/04/2016,30/04/2016,Standard Class,SA-20830,Sue,Ann Reed,Edinburgh,Scotland,EH1 1BB,South,OFF-AR-10004757,Stationery,Art,Crayola Coloured Pencils,1.97
1825,CA-2017-167507,22/12/2017,28/12/2017,Standard Class,SA-20830,Sue,Ann Reed,Liverpool,Merseyside,L1 1AA,West,OFF-BI-10003694,Stationery,Files,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",23.49
1826,CA-2017-167507,22/12/2017,28/12/2017,Standard Class,SA-20830,Sue,Ann Reed,London,Greater London,SW1A 1AA,West,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,8.88
1827,CA-2017-167507,22/12/2017,28/12/2017,Standard Class,SA-20830,Sue,Ann Reed,Newcastle,Tyne and Wear,NE1 1AA,West,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",17.09
1282,CA-2018-122154,09/04/2018,11/04/2018,First Class,SA-20830,Sue,Ann Reed,Liverpool,Merseyside,L1 1AA,South,OFF-LA-10000121,Stationery,Labels,Avery 48,11.34
1283,CA-2018-122154,09/04/2018,11/04/2018,First Class,SA-20830,Sue,Ann Reed,Edinburgh,Scotland,EH1 1BB,South,OFF-BI-10002026,Stationery,Files,Avery Arch Ring Binders,13.07
1284,CA-2018-122154,09/04/2018,11/04/2018,First Class,SA-20830,Sue,Ann Reed,Sheffield,South Yorkshire,S1 2HH,South,OFF-PA-10000994,Stationery,Paper,Xerox 1915,188.73
5230,CA-2018-124436,19/03/2018,22/03/2018,Second Class,SA-20830,Sue,Ann Reed,Newcastle,Tyne and Wear,NE1 1AA,West,OFF-BI-10001553,Stationery,Files,SpineVue Locking Slant-D Ring Binders by Cardinal,10.97
5231,CA-2018-124436,19/03/2018,22/03/2018,Second Class,SA-20830,Sue,Ann Reed,Leeds,West Yorkshire,LS1 1UR,West,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,522.87
5232,CA-2018-124436,19/03/2018,22/03/2018,Second Class,SA-20830,Sue,Ann Reed,Newcastle,Tyne and Wear,NE1 1AA,West,FUR-FU-10001185,Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",23.2
5233,CA-2018-124436,19/03/2018,22/03/2018,Second Class,SA-20830,Sue,Ann Reed,Newcastle,Tyne and Wear,NE1 1AA,West,OFF-BI-10000343,Stationery,Files,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",20.62
3725,CA-2018-127264,03/04/2018,05/04/2018,First Class,SA-20830,Sue,Ann Reed,Manchester,Greater Manchester,M1 1AE,Central,OFF-AR-10003045,Stationery,Art,Prang Coloured Pencils,5.29
8910,CA-2018-160661,28/10/2018,01/11/2018,Standard Class,SA-20830,Sue,Ann Reed,Newcastle,Tyne and Wear,NE1 1AA,East,OFF-LA-10002475,Stationery,Labels,Avery 519,16.45
6369,US-2018-147998,19/05/2018,24/05/2018,Standard Class,SA-20830,Sue,Ann Reed,Sheffield,South Yorkshire,S1 2HH,West,OFF-BI-10002082,Stationery,Files,GBC Twin Loop Wire Binding Elements,99.84
8314,CA-2015-161508,12/07/2015,16/07/2015,Standard Class,PV-18985,Paul,Van Hugh,Birmingham,West Midlands,B1 1AA,Central,FUR-CH-10002126,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,384.27
8315,CA-2015-161508,12/07/2015,16/07/2015,Standard Class,PV-18985,Paul,Van Hugh,Newcastle,Tyne and Wear,NE1 1AA,Central,OFF-FA-10001561,Stationery,Fasteners,Stockwell Push Pins,2.62
8316,CA-2015-161508,12/07/2015,16/07/2015,Standard Class,PV-18985,Paul,Van Hugh,Birmingham,West Midlands,B1 1AA,Central,OFF-AR-10003158,Stationery,Art,Fluorescent Highlighters by Dixon,16.72
8317,CA-2015-161508,12/07/2015,16/07/2015,Standard Class,PV-18985,Paul,Van Hugh,Bristol,South West England,BS1 5DD,Central,OFF-PA-10001804,Stationery,Paper,Xerox 195,12.02
1099,CA-2017-107216,14/06/2017,17/06/2017,First Class,PV-18985,Paul,Van Hugh,Manchester,Greater Manchester,M1 1AE,West,OFF-AR-10001545,Stationery,Art,Newell 326,5.28
1100,CA-2017-107216,14/06/2017,17/06/2017,First Class,PV-18985,Paul,Van Hugh,Leeds,West Yorkshire,LS1 1UR,West,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",6.55
1101,CA-2017-107216,14/06/2017,17/06/2017,First Class,PV-18985,Paul,Van Hugh,Newcastle,Tyne and Wear,NE1 1AA,West,TEC-AC-10001013,Electronics,Accessories,Logitech ClearChat Comfort/USB Headset H390,21.97
1102,CA-2017-107216,14/06/2017,17/06/2017,First Class,PV-18985,Paul,Van Hugh,London,Greater London,SW1A 1AA,West,OFF-AR-10002255,Stationery,Art,Newell 346,6.48
2345,CA-2017-119025,22/02/2017,28/02/2017,Standard Class,PV-18985,Paul,Van Hugh,Sheffield,South Yorkshire,S1 2HH,Central,OFF-AP-10001205,Stationery,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,367.74
4136,CA-2018-105914,02/10/2018,08/10/2018,Standard Class,PV-18985,Paul,Van Hugh,Liverpool,Merseyside,L1 1AA,West,OFF-BI-10002854,Stationery,Files,"Performers Binder/Pad Holder, Black",84.09
4137,CA-2018-105914,02/10/2018,08/10/2018,Standard Class,PV-18985,Paul,Van Hugh,Edinburgh,Scotland,EH1 1BB,West,OFF-ST-10003716,Stationery,Storage,Tennsco Double-Tier Lockers,1181.36
